newsid	title	itemid
N53526	I Was An NBA Wife. Here's How It Affected My Mental Health.	3289
N38324	How to Get Rid of Skin Tags, According to a Dermatologist	2141
N9721	50 Foods You Should Never Eat, According to Health Experts	4387
N18680	Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria	655
N60603	Best PS4 games 2019: play great PlayStation 4 games	3788
N20139	40+ Stuffed Pasta Recipes You'll Want To Make Every Night	783
N10836	100 Genius Tips that Will Make Your Holidays So Much Better	53
N30756	Best Xbox One games 2019: awesome Xbox games to play	1538
N3395	TV shows we're most excited about for the rest of the year	1792
N61864	The News In Cartoons	3891
N61167	Must-see biopics	3841
N61044	My Marriage Is Built on a Lie And a Pair of Running Shoes	3829
N41976	Study: Third-Hand Smoke Can Damage Your Lungs	2405
N31402	The Best Seafood Restaurant in All 50 States	1599
N27214	19 Super Delicious Fall Soups Made From Scratch to Try Now (Including Pumpkin!)	1273
N47600	People Told My Daughter With a Disability She Wouldn't Be Able to Do Everything She Does Today	2820
N30290	The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu	1504
N43484	The Top 25 Holiday Gifts For Women That Will Be Flying Off the Shelves in 2019	2523
N62736	The 20 best horror games of all time	3956
N39638	Want to retire and live in an RV full time? 8 things you need to know	2250
N15651	The penthouse of NYC's Woolworth Building just got a $31 million price cut. Check out 'The Pinnacle,' which occupies the top 5 floors of the iconic, green-roofed skyscraper.	441
N6258	These Room Divider Ideas Will Transform Your Home in an Instant	3943
N49134	Matt Tifft will miss rest of season after suffering seizure at Martinsville	2942
N34722	Here's when all 28 new Lifetime Christmas movies will air	1845
N7771	I Quit Instagram For Three Months to Heal My Idiot Brain	4255
N49198	These Are The Oldest Universities In America	2949
N58332	From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark	3633
N56461	President Trump's trillion-dollar hit to homeowners	3505
N21383	Doctors Want FDA To Warn Women About Cheese And Breast Cancer Link	860
N9900	32 Best Good-Mood Foods	4400
N19028	Former Trump advisor John Bolton's lawyers are in contact with impeachment probe panels	688
N61084	I Rehomed My Dog And I Don't Regret It	3833
N228	Stowaway Discovered in Couple's Carry-On Luggage	960
N4489	David Ross might shake up the Cubs coaching staff. Who should he hire as bench coach?	2616
N732	105 Most Popular Sodas Ranked by How Toxic They Are	4225
N50299	Kelly Ripa responds to backlash over son in 'extreme poverty' joke	3025
N21311	How This Guy Built Muscle and Got Shredded in His 40s on a Plant-Based Diet	852
N39535	Today in History: November 3	2243
N12638	Rains bring floods to parts of Western Washington	192
N58574	I Was 24 & Had Just Scored My Dream Job In Fashion. Then An Accident In The Hamptons Changed Everything.	3644
N6950	I Overate at Dinner Until I Started Doing This 1 Simple Thing on Sundays (It Takes 10 Minutes!)	4200
N45174	Ask The Salty Waitress: The cashier is texting instead of ringing up my order	2628
N46662	NFL Cheerleaders	2738
N20148	No goals, no fans, no TV: Koreas draw 0-0 in blacked-out World Cup qualifier	784
N42800	25 Ways to Double Your Paycheck in 1 Month	2471
N62357	Fan falls from upper deck during Oklahoma State-Iowa State game	3925
N53095	The Most Beautiful Natural Wonder in Every State	3245
N1398	Iowa woman killed by explosion at gender reveal party	301
N34930	9 Vegetables You Shouldn't Eat Raw	1859
N16384	This fast food chain has the best fries, according to customers	490
N19495	Prince Harry Has the Sweetest Response When Young Student Calls Him Handsome During Japan Trip	715
N7004	Meghan and Harry to take 'family time' off, says royal source	4202
N5978	Eric Tse, 24, just became a billionaire overnight	3725
N55526	36 Celebs You Won't Recognize from Their Yearbook Photos	3433
N32247	'Smiling Cinderella' Shibuno returns to LPGA at Swinging Skirts	1669
N27289	Why I'm Done Celebrating The Accomplishments Of Couples	1277
N44396	Parking space sells for almost $1 million	2583
N58304	27 bad eating habits you need to stop right now	3632
N61157	Looks Like Jeep Is Working on an Even Crazier Grand Cherokee Trackhawk	3838
N7128	7 Women Share What It's Really Like To Work On A Cruise Ship	4213
N37694	Comics - 'Pluggers' by Gary Brookins	2090
N1843	Survivor Contestant Rudy Boesch Dies at 91 After Long Battle with Alzheimer's Disease	636
N55779	Trump's Rallies Aren't Just Part of His Campaign. They Are the Campaign.	3456
N40070	Unexpected ingredients that go great with eggs	2279
N6608	Dana White on Maycee Barber: 'She's a gangster…I love everything about this girl'	4163
N42527	Star Wars Jedi: Fallen Order trophies have already leaked, and they contain big story spoilers	2450
N34476	The 15 Best Hairstyles With Bangs to Try Right Now	1829
N46131	Jets looking to trade Le'Veon Bell before Tuesday deadline: sources	2696
N8500	Toyota Supra 3000GT Concept Has Big Fenders and an Even Bigger Wing	4306
N60604	Open all hours: the best 24/7 restaurant in every state	3789
N57140	NFL Draft: Ranking the 30 quarterbacks selected in the first round in this decade	3554
N60724	I'm A Queer Woman Dating A Trans Man   & No One Knows	3804
N13292	Detectives investigate potential threat at Westland Middle School in Maryland	240
N53224	The greatest acting one-hit wonders	3261
N54822	If You Don't Eat a Banana Every Day, This Might Convince You to Start	3383
N62372	Edward Snowden says he found no evidence of aliens in government databases	3927
N17009	50 Celebrities You Definitely Forgot Busted a Move on 'Dancing With the Stars'	533
N51238	Why the Patriots made a very un-Patriots trade for Mohamed Sanu	3085
N41209	Man and woman found dead at north St. Louis County shooting scene, suspect in custody	2359
N63049	Dangerous Diablo winds fueling Kincade fire with wind gusts up to 76 mph	3983
N58090	Frustrated Antonio Brown has active morning on Twitter	3615
N11678	THEN AND NOW: What Kate Middleton, Meghan Markle, and the other royals looked like the year they married into the world's most famous family	120
N58030	The most famous game show hosts	3612
N34536	What's the Deal With the Toyota Supra?	1834
N50333	100+ Funny White Elephant Gifts That'll Leave Everyone Laughing Hard This Holiday Season	3027
N30612	The first thing 14 lottery winners have bought after finding out they were rich	1527
N44796	Will Teresa Giudice and Joe Giudice Get Divorced? 'I Don't See It Working,' She Says	2608
N13933	45 Amazing Facts About Airplanes That Will Make Your Mind Soar	293
N49914	This Is the Scariest Haunted House in Your State	2993
N8061	2020 Ford Bronco: Everything we know about Ford's new SUV	4275
N53734	3 things from the Mavericks 121-119 loss to the Trail Blazers	3303
N40706	Jeep Gladiator Goes Overlanding With New AT Summit Habitat Camper	2325
N55935	There's nothing special about the Suns, which is why they're succeeding	3468
N46231	How to Make Perfectly Chewy Chocolate Chip Cookies	2705
N59085	Official's homophobic slur ignites explosive reaction against Tennessee tourism hot spot	3675
N46994	I tried to order everything on Taco Bell's secret menu, and it was a total disaster	2769
